"Common IMEI/MEID","Common Serial Number","Common Model Name","Common Market Name","Common SKU","Common Supported Services","Common Latest OS Version","Common Installed SPL","Common Enrollment Profile","Common License Name/Type","Common Tags","Common Buyer Code","Common Wifi Mac Address","Common Upload Source","Common Last Uploaded By","Common Last Seen","Common Last Modified Date","KME Device Status","KME EMM Auto Enrollment","KME Order Number","KME Submitted","KME OS Version","KME Tags","KME Lock Status","KME Last Seen","KME Last Modified","KFM Firmware","KFM Security Patch","KFM Operation Status","KFM Client Status","KFM Error Code","KFM Auto Enrollment","KFM Campaign","KFM Gradual Campaign Rollout Start","KFM Update Status","KFM EMM Group","KFM Emm Status","KFM Sales Code","KFM CSC","KFM Order Number","KFM OS Version","KFM Tags","KFM Last Seen","KFM Last Modified","KAI Device Status","KAI Device Group","KAI Auto Enrollment","KAI Permissions","KAI Battery Health","KAI Battery Status","KAI Device Health","KAI Firmware Version","KAI OS Version","KAI Tags","KAI Last Seen","KAI Last Modified","KC Profile","KC Service End Date","KC Device Status","KC Knox Version","KC Custom ID","KC OS Version","KC Tags","KC Last Seen","KC Last Modified"
"350842061123031","R92X40KRAEZ","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:2F:0E","Reseller","Verizon Wireless","2024 Aug 30","2024 Aug 30","Enrolled (restricted)","On","P003101_2113056_102","2024 Jun 07","14","Drivers","UNLOCKED","2024 Aug 30","2024 Aug 30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061139284","R92X40KYW8W","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:B8:20","Reseller","Verizon Wireless","2024 Aug 22","2024 Aug 22","Enrolled (restricted)","On","P003101_2113056_54","2024 Jun 07","14","Drivers","UNLOCKED","2024 Aug 22","2024 Aug 22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"356655901563446","R9ZL304YHGX","SM-X117U","Galaxy Tab A9","SM-X117UZAAVZW","All services","Android 16","2026-01-01","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","VZW","78:60:89:05:82:A6","Reseller","Verizon Wireless","2026 Jun 08","2026 Jun 08","Enrolled (restricted)","On","VZW_1806301_4387028_3","2026 May 30","16","","UNLOCKED","2026 Jun 08","2026 Jun 08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2026 May 30"
"350842061114667","R92X40KQJ2N","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","2024-02-01","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","VZW","9C:39:28:3A:28:84","Reseller","Verizon Wireless","2026 Mar 25","2026 Mar 25","Enrolled (restricted)","On","P003101_2113036_90","2024 Jun 07","14","Drivers","UNLOCKED","2026 Mar 25","2026 Mar 25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061125895","R92X40KRK3Z","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:31:4A","Reseller","Verizon Wireless","2024 Jun 14","2024 Jun 14","Enrolled (restricted)","On","P003101_2113036_170","2024 Jun 07","14","Drivers","UNLOCKED","2024 Jun 14","2024 Jun 14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061123064","R92X40KRAHL","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:2F:14","Reseller","Verizon Wireless","2024 Aug 30","2024 Aug 30","Enrolled (restricted)","On","P003101_2113056_98","2024 Jun 07","14","Drivers","UNLOCKED","2024 Aug 30","2024 Aug 30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061122694","R92X40KR9DH","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:2E:CA","Reseller","Verizon Wireless","2025 Jan 28","2025 Jan 28","Enrolled (restricted)","On","P003101_2113056_42","2024 Jun 07","14","Drivers","UNLOCKED","2025 Jan 28","2025 Jan 28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061119526","R92X40KQZSJ","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:2C:50","Reseller","Verizon Wireless","2024 Aug 30","2024 Aug 30","Enrolled (restricted)","On","P003101_2113036_2","2024 Jun 07","14","Drivers","UNLOCKED","2024 Aug 30","2024 Aug 30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061125697","R92X40KRJGD","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:31:22","Reseller","Verizon Wireless","2024 Aug 30","2024 Aug 30","Enrolled (restricted)","On","P003101_2113036_162","2024 Jun 07","14","Drivers","UNLOCKED","2024 Aug 30","2024 Aug 30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061136868","R92X40KYMXL","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:B6:3C","Reseller","Verizon Wireless","2024 Nov 12","2024 Nov 12","Enrolled (restricted)","On","P003101_2113056_70","2024 Jun 07","14","Drivers","UNLOCKED","2024 Nov 12","2024 Nov 12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061125911","R92X40KRK5H","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:31:4E","Reseller","Verizon Wireless","2024 Aug 30","2024 Aug 30","Enrolled (restricted)","On","P003101_2113036_178","2024 Jun 07","14","Drivers","UNLOCKED","2024 Aug 30","2024 Aug 30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061114634","R92X40KQHZZ","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:28:7E","Reseller","Verizon Wireless","2024 Nov 12","2024 Nov 12","Enrolled (restricted)","On","P003101_2113056_186","2024 Jun 07","14","Drivers","UNLOCKED","2024 Nov 12","2024 Nov 12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"356655901559105","R9ZL304Y4BR","SM-X117U","Galaxy Tab A9","SM-X117UZAAVZW","All services","Android 16","2026-01-01","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","VZW","78:60:89:05:7F:42","Reseller","Verizon Wireless","2026 Jun 16","2026 Jun 16","Enrolled (restricted)","On","VZW_1806301_4387028_19","2026 May 30","16","","UNLOCKED","2026 Jun 16","2026 Jun 16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2026 May 30"
"350842061125937","R92X40KRK7Y","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:31:52","Reseller","Verizon Wireless","2024 Aug 30","2024 Aug 30","Enrolled (restricted)","On","P003101_2113056_78","2024 Jun 07","14","Drivers","UNLOCKED","2024 Aug 30","2024 Aug 30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061109188","R92X40KQ1FP","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","2024-02-01","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","VZW","9C:39:28:3A:24:3C","Reseller","Verizon Wireless","2026 Jul 24","2026 Aug 06","Enrolled (restricted)","On","P003101_2113056_126","2024 Jun 07","14","Drivers","UNLOCKED","2026 Jul 24","2026 Aug 06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"359548575635672","R95Y6086N5H","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAXAU","All services","Android 16","2026-02-05","Knox Manage - Trial 25 T-Mobile Tablets","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","68:DF:E4:82:D7:5A","Reseller","T-Mobile","2025 Sep 23","2026 Mar 12","DO enrollment","On","","2025 Sep 05","16","T-Mobile","UNLOCKED","2025 Sep 23","2026 Mar 12","","","Approved","Not enrolled","[] ","OFF","","","Not started","","","","","","","","","2026 Mar 05","Client not enrolled","","Disabled","","-","-","","-","-","","","2025 Sep 05","","","Unassigned","","","","","","2025 Sep 05"
"350842061123395","R92X40KRBHZ","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:2F:56","Reseller","Verizon Wireless","2024 Aug 30","2024 Aug 30","Enrolled (restricted)","On","P003101_2113036_62","2024 Jun 07","14","Drivers","UNLOCKED","2024 Aug 30","2024 Aug 30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061123247","R92X40KRB2Y","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:2F:38","Reseller","Verizon Wireless","2024 Aug 30","2024 Aug 30","Enrolled (restricted)","On","P003101_2113036_46","2024 Jun 07","14","Drivers","UNLOCKED","2024 Aug 30","2024 Aug 30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061123593","R92X40KRC4L","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:2F:7E","Reseller","Verizon Wireless","2024 Jun 12","2024 Jun 12","Enrolled (restricted)","On","P003101_2113036_122","2024 Jun 07","14","Drivers","UNLOCKED","2024 Jun 12","2024 Jun 12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"359548575698613","R95Y608GDSM","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAXAU","All services","Android 16","2026-02-05","Knox Manage - Trial 25 T-Mobile Tablets","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","68:DF:E4:8C:84:04","Reseller","T-Mobile","2025 Sep 17","2026 Apr 03","DO enrollment","On","","2025 Sep 05","16","T-Mobile","UNLOCKED","2025 Sep 17","2026 Apr 03","","","Approved","Not enrolled","[] ","OFF","","","Not started","","","","","","","","","2026 Mar 05","Client not enrolled","","Disabled","","-","-","","-","-","","","2025 Sep 05","","","Unassigned","","","","","","2025 Sep 05"
"350842061123403","R92X40KRBJX","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:2F:58","Reseller","Verizon Wireless","2024 Aug 30","2024 Aug 30","Enrolled (restricted)","On","P003101_2113036_98","2024 Jun 07","14","Drivers","UNLOCKED","2024 Aug 30","2024 Aug 30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061125929","R92X40KRK6L","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:31:50","Reseller","Verizon Wireless","2024 Aug 30","2024 Aug 30","Enrolled (restricted)","On","P003101_2113036_190","2024 Jun 07","14","Drivers","UNLOCKED","2024 Aug 30","2024 Aug 30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061122835","R92X40KR9TD","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:2E:E6","Reseller","Verizon Wireless","2024 Aug 30","2024 Aug 30","Enrolled (restricted)","On","P003101_2113056_142","2024 Jun 07","14","Drivers","UNLOCKED","2024 Aug 30","2024 Aug 30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"356655901558941","R9ZL304Y3VF","SM-X117U","Galaxy Tab A9","SM-X117UZAAVZW","All services","Android 16","2026-01-01","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","VZW","78:60:89:05:7F:22","Reseller","Verizon Wireless","2026 Jun 09","2026 Jun 09","Enrolled (restricted)","On","VZW_1806301_4387028_11","2026 May 30","16","","UNLOCKED","2026 Jun 09","2026 Jun 09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2026 May 30"
"350842061122926","R92X40KRA3A","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:2E:F8","Reseller","Verizon Wireless","2024 Aug 23","2024 Aug 23","Enrolled (restricted)","On","P003101_2113056_202","2024 Jun 07","14","Drivers","UNLOCKED","2024 Aug 23","2024 Aug 23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061125630","R92X40KRJAM","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:31:16","Reseller","Verizon Wireless","2025 Nov 12","2025 Nov 12","Enrolled (restricted)","On","P003101_2113036_174","2024 Jun 07","14","Drivers","UNLOCKED","2025 Nov 12","2025 Nov 12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"359548575723718","R95Y608JPVD","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAXAU","All services","Android 16","2026-02-05","Knox Manage - Trial 25 T-Mobile Tablets","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","68:DF:E4:8C:97:A0","Reseller","T-Mobile","2025 Sep 23","2026 Mar 17","DO enrollment","On","","2025 Sep 05","16","T-Mobile","UNLOCKED","2025 Sep 23","2026 Mar 17","","","Approved","Not enrolled","[] ","OFF","","","Not started","","","","","","","","","2026 Mar 05","Client not enrolled","","Disabled","","-","-","","-","-","","","2025 Sep 05","","","Unassigned","","","","","","2025 Sep 05"
"350842061123429","R92X40KRBLL","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","Android 14","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:2F:5C","Reseller","Verizon Wireless","2024 Oct 17","2024 Oct 17","Enrolled (restricted)","On","P003101_2113036_102","2024 Jun 07","14","Drivers","UNLOCKED","2024 Oct 17","2024 Oct 17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061123379","R92X40KRBFR","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:2F:52","Reseller","Verizon Wireless","2024 Aug 30","2024 Aug 30","Enrolled (restricted)","On","P003101_2113036_86","2024 Jun 07","14","Drivers","UNLOCKED","2024 Aug 30","2024 Aug 30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061119617","R92X40KR02V","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:2C:62","Reseller","Verizon Wireless","2024 Aug 30","2024 Aug 30","Enrolled (restricted)","On","P003101_2113056_154","2024 Jun 07","14","Drivers","UNLOCKED","2024 Aug 30","2024 Aug 30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061136827","R92X40KYMSV","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:B6:34","Reseller","Verizon Wireless","2024 Aug 30","2024 Aug 30","Enrolled (restricted)","On","P003101_2113056_22","2024 Jun 07","14","Drivers","UNLOCKED","2024 Aug 30","2024 Aug 30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"359548575713776","R95Y608HSQX","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAXAU","All services","Android 16","2026-06-05","Knox Manage - Trial 25 T-Mobile Tablets","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","68:DF:E4:8C:8F:DC","Reseller","T-Mobile","2025 Oct 07","2026 Jun 26","DO enrollment","On","","2025 Sep 05","16","T-Mobile","UNLOCKED","2025 Oct 07","2026 Jun 26","","","Approved","Not enrolled","[] ","OFF","","","Not started","","","","","","","","","2026 Mar 05","Client not enrolled","","Disabled","","-","-","","-","-","","","2025 Sep 05","","","Unassigned","","","","","","2025 Sep 05"
"359548575698928","R95Y608GEQP","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAXAU","All services","Android 16","2026-06-05","Knox Manage - Trial 25 T-Mobile Tablets","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan|KnoxSuiteTrial1758123134707364141924;Knox Suite Enterprise Plan","","","68:DF:E4:8C:84:42","Reseller","T-Mobile","2025 Sep 17","2026 Jun 27","DO enrollment","On","","2025 Sep 05","16","T-Mobile","UNLOCKED","2025 Sep 17","2026 Jun 27","","","Approved","Not enrolled","[] ","OFF","","","Not started","","","","","","","","","2026 Mar 05","Client not enrolled","","Disabled","","-","-","","-","-","","","2025 Sep 05","","","Unassigned","","","","","","2025 Sep 05"
"350842061123221","R92X40KRB0H","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:2F:34","Reseller","Verizon Wireless","2024 Aug 30","2024 Aug 30","Enrolled (restricted)","On","P003101_2113056_106","2024 Jun 07","14","Drivers","UNLOCKED","2024 Aug 30","2024 Aug 30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
"350842061123445","R92X40KRBNN","SM-X218U","Galaxy Tab A9+ 5G","SM-X218UZAAVZW","All services","","","Knox Manage (Advanced)","Knox Suite - Essentials Plan Monthly VERIZON;Knox Suite Essentials Plan","","","9C:39:28:3A:2F:60","Reseller","Verizon Wireless","2024 Jun 12","2024 Jun 12","Enrolled (restricted)","On","P003101_2113036_118","2024 Jun 07","14","Drivers","UNLOCKED","2024 Jun 12","2024 Jun 12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unassigned","","","","","","2024 Jun 07"
